user_id,snapshot_ts,reorder_probability_30d,churn_probability_30d,recommended_threshold,predicted_reorder_next_30d,predicted_churn_risk_30d,predicted_positive,risk_bucket,threshold_distance,threshold_band,score_decile
128,2026-03-11T04:56:56+00:00,0.007598533991644129,0.9924014660083559,0.312470840610089,0,1,0,high,-0.3048723066184449,below_threshold,0
15,2026-03-11T04:56:56+00:00,0.007711621026395904,0.9922883789736041,0.312470840610089,0,1,0,high,-0.3047592195836931,below_threshold,0
10,2026-03-11T04:56:56+00:00,0.007751395542958863,0.9922486044570411,0.312470840610089,0,1,0,high,-0.30471944506713017,below_threshold,0
157,2026-03-11T04:56:56+00:00,0.007971599265053269,0.9920284007349467,0.312470840610089,0,1,0,high,-0.30449924134503575,below_threshold,0
99,2026-03-11T04:56:56+00:00,0.008540123244224002,0.991459876755776,0.312470840610089,0,1,0,high,-0.303930717365865,below_threshold,0
176,2026-03-11T04:56:56+00:00,0.009241691801333775,0.9907583081986662,0.312470840610089,0,1,0,high,-0.30322914880875523,below_threshold,0
171,2026-03-11T04:56:56+00:00,0.009384260238991918,0.990615739761008,0.312470840610089,0,1,0,high,-0.3030865803710971,below_threshold,0
19,2026-03-11T04:56:56+00:00,0.009668120361476842,0.9903318796385232,0.312470840610089,0,1,0,high,-0.30280272024861216,below_threshold,0
96,2026-03-11T04:56:56+00:00,0.00986625814109433,0.9901337418589057,0.312470840610089,0,1,0,high,-0.3026045824689947,below_threshold,0
121,2026-03-11T04:56:56+00:00,0.010040668905495776,0.9899593310945042,0.312470840610089,0,1,0,high,-0.30243017170459324,below_threshold,0
83,2026-03-11T04:56:56+00:00,0.010054525357407801,0.9899454746425922,0.312470840610089,0,1,0,high,-0.3024163152526812,below_threshold,0
14,2026-03-11T04:56:56+00:00,0.011068260571212414,0.9889317394287875,0.312470840610089,0,1,0,high,-0.3014025800388766,below_threshold,0
162,2026-03-11T04:56:56+00:00,0.01109811728190927,0.9889018827180908,0.312470840610089,0,1,0,high,-0.3013727233281797,below_threshold,0
163,2026-03-11T04:56:56+00:00,0.011378564950201515,0.9886214350497985,0.312470840610089,0,1,0,high,-0.3010922756598875,below_threshold,0
133,2026-03-11T04:56:56+00:00,0.01140413942025,0.98859586057975,0.312470840610089,0,1,0,high,-0.301066701189839,below_threshold,0
3,2026-03-11T04:56:56+00:00,0.012425133561341926,0.9875748664386581,0.312470840610089,0,1,0,high,-0.30004570704874706,below_threshold,0
168,2026-03-11T04:56:56+00:00,0.012425133561341926,0.9875748664386581,0.312470840610089,0,1,0,high,-0.30004570704874706,below_threshold,0
150,2026-03-11T04:56:56+00:00,0.012432980126795237,0.9875670198732047,0.312470840610089,0,1,0,high,-0.3000378604832938,below_threshold,0
179,2026-03-11T04:56:56+00:00,0.013121024037359649,0.9868789759626404,0.312470840610089,0,1,0,high,-0.29934981657272935,below_threshold,0
22,2026-03-11T04:56:56+00:00,0.014203992187024688,0.9857960078129753,0.312470840610089,0,1,0,high,-0.29826684842306433,below_threshold,0
